mine_id,name,state,district,company,mine_type,ownership,status,name_normalized,company_normalized,state_normalized,district_normalized,_match_name,match_name,match_score,match_method,coordinate_source_name,latitude,longitude
CM-357,Sharda Highwall,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING,sharda highwall,secl,madhya pradesh,shahdol,sharda highwall,sharda highwall,100,EXACT,Sharda Highwall,,
CM-358,Sharda UG,Madhya Pradesh,CHHINDWARA,WCL,UNDERGROUND,PUBLIC,WORKING,sharda ug,wcl,madhya pradesh,chhindwara,sharda ug,sharda ug,100,EXACT,Sharda UG,,
CM-359,Shivani,Chhattisgarh,SURGUJA,SECL,UNDERGROUND,PUBLIC,WORKING,shivani,secl,chhattisgarh,surguja,shivani,shivani,100,EXACT,Shivani,,
CM-360,Shyam Sundarpur Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,shyam sundarpur,ecl,west bengal,bardhaman,shyam sundarpur,shyam sundarpur,100,EXACT,Shyam Sundarpur Colliery,,
CM-361,Sial Ghogri Coal Mine,Madhya Pradesh,CHHINDWARA,RCCPL,UNDERGROUND,PRIVATE,WORKING,sial ghogri,rccpl,madhya pradesh,chhindwara,sial ghogri,sial ghogri,100,EXACT,Sial Ghogri Coal Mine,,
CM-362,Siarmal OCP,Odisha,SUNDARGARH,MCL,OPENCAST,PUBLIC,WORKING,siarmal ocp,mcl,odisha,sundargarh,siarmal ocp,siarmal ocp,100,EXACT,Siarmal OCP,,
CM-363,Siduli Colliery,West Bengal,Bardhaman,ECL,MIXED,PUBLIC,WORKING,siduli,ecl,west bengal,bardhaman,siduli,siduli,100,EXACT,Siduli Colliery,,
CM-364,Sijua Colliery,Jharkhand,DHANBAD,TSL,UNDERGROUND,PRIVATE,WORKING,sijua,tsl,jharkhand,dhanbad,sijua,sijua,100,EXACT,Sijua Colliery,,
CM-365,Sikni OC Mine,Jharkhand,LATEHAR,JSMDCL,OPENCAST,PUBLIC,WORKING,sikni oc,jsmdcl,jharkhand,latehar,sikni oc,sikni oc,100,EXACT,Sikni OC Mine,,
CM-366,Silewara Colliery,Maharashtra,NAGPUR,WCL,UNDERGROUND,PUBLIC,WORKING,silewara,wcl,maharashtra,nagpur,silewara,silewara,100,EXACT,Silewara Colliery,,
