mine_id,name,state,district,company,mine_type,ownership,status,name_normalized,company_normalized,state_normalized,district_normalized,_match_name,match_name,match_score,match_method,coordinate_source_name,latitude,longitude,coordinate_valid,coordinate_status
CM-224,Kumardihi-A Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,kumardihi a,ecl,west bengal,bardhaman,kumardihi a,kumardihi a,100,EXACT,Kumardihi-A Colliery,,,False,MISSING_OR_INVALID
CM-225,Kumda 7 & 8,Chhattisgarh,SURGUJA,SECL,UNDERGROUND,PUBLIC,WORKING,kumda 7 8,secl,chhattisgarh,surguja,kumda 7 8,kumda 7 8,100,EXACT,Kumda 7 & 8,,,False,MISSING_OR_INVALID
CM-226,Kunustoria Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,kunustoria,ecl,west bengal,bardhaman,kunustoria,kunustoria,100,EXACT,Kunustoria Colliery,,,False,MISSING_OR_INVALID
CM-227,Kurasia UG,Chhattisgarh,KOREA,SECL,UNDERGROUND,PUBLIC,WORKING,kurasia ug,secl,chhattisgarh,korea,kurasia ug,kurasia ug,100,EXACT,Kurasia UG,,,False,MISSING_OR_INVALID
CM-228,Kurja/Sheetaldhara/Kapildhara,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING,kurja sheetaldhara kapildhara,secl,madhya pradesh,shahdol,kurja sheetaldhara kapildhara,kurja sheetaldhara kapildhara,100,EXACT,Kurja/Sheetaldhara/Kapildhara,,,False,MISSING_OR_INVALID
CM-229,Kusmunda Project,Chhattisgarh,KORBA,SECL,OPENCAST,PUBLIC,WORKING,kusmunda,secl,chhattisgarh,korba,kusmunda,kusmunda,100,EXACT,Kusmunda Project,22.332635,82.666666,True,VALID
CM-230,Kuya,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,kuya,bccl,jharkhand,dhanbad,kuya,kuya,100,EXACT,Kuya,,,False,MISSING_OR_INVALID
CM-231,Laiyo UGP,Jharkhand,RAMGARH,CCL,UNDERGROUND,PUBLIC,NON_WORKING,laiyo ugp,ccl,jharkhand,ramgarh,laiyo ugp,laiyo ugp,100,EXACT,Laiyo UGP,,,False,MISSING_OR_INVALID
CM-232,Lajkura OCP,Odisha,JHARSUGUDA,MCL,OPENCAST,PUBLIC,WORKING,lajkura ocp,mcl,odisha,jharsuguda,lajkura ocp,lajkura ocp,100,EXACT,Lajkura OCP,,,False,MISSING_OR_INVALID
CM-233,Lakhimata,Jharkhand,DHANBAD,ECL,UNDERGROUND,PUBLIC,WORKING,lakhimata,ecl,jharkhand,dhanbad,lakhimata,lakhimata,100,EXACT,Lakhimata,,,False,MISSING_OR_INVALID
